1-1-1-1-1,6,29.7
1-4-5-2-5-4-5,6,174.05
5,1,29126.85
1,2,15.94
1-1-1,4,22.28
1,5,5.02
1-1-4-2,4,68.35
1-1-5-4-2-1,8,275.74
1-5-5,10,241.21
5-5,11,8870.65
1,11,7.52
1,2,14.77
1,1,199.79
1-1-1-2-5-1-5-4-5-2-2,10,162.38
2-1-1-2-5,15,96.19
5,16,226.9
2-2-5,18,55.26
5,19,186.57
2-5,21,61.84
5-2-5-2-5,26,107.04
2-5-5,29,1897.58
5-1-1-2-1-2-2-1-5-2,11,1103.35
1-1-1-2-5,16,1084.85
5-2-5-2-1-1-2-1-2-1,26,126.81
1-4,2,1866.15
4,2,25.84
5-5,3,6909.63
